# 技术分析Agent监控股票列表
# 格式: 股票代码,股票名称

000035,中国天楹
002536,飞龙股份
001400,江顺科技
002429,兆驰股份
300903,科翔股份
300811,铂科新材
601126,四方股份
002270,华明装备
603530,神马电力
600550,保变电气
002484,江海股份
001339,智微智能
000070,特发信息
002937,兴瑞科技
600309,万华化学
002812,恩捷股份
002080,中材科技
300706,阿石创
300476,胜宏科技
300395,菲利华
300617,安靠智电
300666,江丰电子
002440,闰土股份
300285,国瓷材料
300394,天孚通信
002371,北方华创
603256,宏和科技
300624,万兴科技
600740,山西焦化
002595,豪迈科技
600188,兖矿能源
002068,黑猫股份
601168,西部矿业
000758,中色股份
603132,金徽股份
300435,中泰股份
002430,杭氧股份
002353,杰瑞股份
002600,领益智造
002837,英维克
301662,宏工科技
300753,爱朋医疗
002195,岩山科技
301468,博盈特焊
605060,联德股份
603308,应流股份
000420,吉林化纤
300699,光威复材
300567,精测电子
300604,长川科技
301629,矽电股份
600460,士兰微
300750,宁德时代
300014,亿纬锂能
300207,欣旺达
002709,天赐材料
002407,多氟多
002460,赣锋锂业
002738,中矿资源
603200,上海洗霸
301396,宏景科技
002364,中恒电气
002922,伊戈尔
002518,科士达
300274,阳光电源
002706,良信股份
601900,南方传媒
000719,中原传媒
300364,中文在线
603533,掌阅科技
000892,欢瑞世纪
000681,视觉中国
603000,人民网
603888,新华网
300182,捷成股份
301608,博实结
300814,中富电路
600487,亨通光电
600522,中天科技
601869,长飞光纤
300316,晶盛机电
603286,日盈电子
300751,迈为股份
600481,双良节能
002943,宇晶股份
002623,亚玛顿
002865,钧达股份
605598,上海港湾
603730,岱美股份
601615,明阳智能
300969,恒帅股份
603009,北特科技
002050,三花智控
301229,纽泰格
603119,浙江荣泰
601689,拓普集团
301345,涛涛车业
000700,模塑科技
603626,科森科技
000738,航发控制
600391,航发科技
300118,东方日升
301002,崧盛股份
300680,隆盛科技
300762,上海瀚讯
301232,飞沃科技
600343,航天动力
002149,西部材料
600850,电科数字
300136,信维通信
600151,航天机电
301005,超捷股份
